Date,Value,
21.11.2015,306.4000,
20.11.2015,301.4500,
19.11.2015,309.8600,
18.11.2015,314.5500,
17.11.2015,315.1300,
16.11.2015,301.8400,
15.11.2015,306.1900,
14.11.2015,310.9900,
13.11.2015,310.5800,
12.11.2015,303.6500,
11.11.2015,294.5500,
10.11.2015,341.9700,
09.11.2015,349.8300,
08.11.2015,357.4200,
07.11.2015,357.9700,
06.11.2015,346.9600,
05.11.2015,368.1800,
04.11.2015,411.3800,
03.11.2015,349.3800,
02.11.2015,305.1500,
01.11.2015,289.2200,
31.10.2015,294.1400,
30.10.2015,295.6800,
29.10.2015,282.6800,
28.10.2015,276.0900,
27.10.2015,265.6900,
26.10.2015,258.1200,
25.10.2015,263.4100,
24.10.2015,255.6900,
23.10.2015,251.9900,
22.10.2015,246.0200,
21.10.2015,237.9100,
20.10.2015,237.0600,
19.10.2015,233.8400,
18.10.2015,235.9400,
17.10.2015,237.9200,
16.10.2015,230.3100,
15.10.2015,225.1900,
14.10.2015,220.9400,
13.10.2015,219.0200,
12.10.2015,218.8100,
11.10.2015,219.0400,
10.10.2015,217.4100,
09.10.2015,216.6700,
08.10.2015,217.8700,
07.10.2015,219.6800,
06.10.2015,217.5300,
05.10.2015,214.8200,
04.10.2015,214.9700,
03.10.2015,214.2100,
02.10.2015,213.4800,
01.10.2015,213.4500,
30.09.2015,213.6900,
29.09.2015,213.0600,
28.09.2015,212.2000,
27.09.2015,210.2000,
26.09.2015,211.0600,
25.09.2015,211.4000,
24.09.2015,209.3400,
23.09.2015,207.6200,
22.09.2015,207.1300,
21.09.2015,205.1100,
20.09.2015,206.4700,
19.09.2015,206.8500,
18.09.2015,207.6300,
17.09.2015,204.3600,
16.09.2015,204.4600,
15.09.2015,206.0500,
14.09.2015,203.6700,
13.09.2015,206.8700,
12.09.2015,212.5100,
11.09.2015,213.3900,
10.09.2015,213.0800,
09.09.2015,216.4800,
08.09.2015,217.8600,
07.09.2015,216.0900,
06.09.2015,215.7600,
05.09.2015,209.4800,
04.09.2015,207.5300,
03.09.2015,207.5300,
02.09.2015,204.1200,
01.09.2015,203.8800,
31.08.2015,205.0300,
30.08.2015,205.8400,
29.08.2015,207.3800,
28.08.2015,204.1700,
27.08.2015,201.9500,
26.08.2015,199.4300,
25.08.2015,186.3200,
24.08.2015,191.7300,
23.08.2015,202.4300,
22.08.2015,203.6100,
21.08.2015,206.7900,
20.08.2015,207.6500,
19.08.2015,210.7800,
18.08.2015,233.0100,
17.08.2015,234.0600,
16.08.2015,234.7800,
15.08.2015,240.7300,
14.08.2015,239.6200,
13.08.2015,239.0500,
12.08.2015,241.6600,
11.08.2015,242.1700,
10.08.2015,241.5500,
09.08.2015,241.0900,
08.08.2015,251.8300,
07.08.2015,256.1000,
06.08.2015,258.1200,
05.08.2015,261.5000,
